date,timestamp,index,index_name,total_tickers,valid_measurements,inverted_count,inversion_pct,mean_iv_skew,median_iv_skew,std_iv_skew,min_iv_skew,max_iv_skew,alert_level
2025-10-16,2025-10-16 16:02:42.024831,GLOBAL,Global All Indices,220,215,40,18.6,0.099,0.0885,0.1763,-0.5,1.0234,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_CONSUMER,US Consumer,20,20,4,20.0,0.1223,0.082,0.2442,-0.1452,1.0234,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_ENERGY,US Energy & Materials,20,17,2,11.76,0.2234,0.2575,0.2293,-0.1328,0.8021,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_FINANCE,US Financials,20,20,3,15.0,0.1131,0.0996,0.1486,-0.1012,0.526,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_HEALTH,US Healthcare,20,20,4,20.0,0.089,0.0747,0.1147,-0.097,0.3365,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_INDUSTRIAL,US Industrials,20,20,8,40.0,0.0617,0.044,0.2399,-0.431,0.6649,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_MEME,US Retail Favorites,20,19,5,26.32,0.0585,0.1543,0.2669,-0.5,0.5625,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_SMALL_MID,US Small/Mid Caps,20,19,1,5.26,0.1235,0.1471,0.0874,-0.1003,0.2279,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_SP500_LARGE,S&P 500 Large Caps,20,20,6,30.0,0.0377,0.041,0.0918,-0.138,0.2572,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_SP500_MEGA,S&P 500 Mega Caps,20,20,2,10.0,0.0845,0.0999,0.0853,-0.1064,0.2087,NORMAL
2025-10-16,2025-10-16 16:02:42.024831,US_TECH,US Technology,20,20,3,15.0,0.0628,0.0715,0.0816,-0.1328,0.1745,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,ETF_MAJOR,Major ETFs,20,20,2,10.0,0.0774,0.0833,0.1462,-0.2352,0.375,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,GLOBAL,Global All Indices,220,215,12,5.58,0.0578,0.0833,0.0833,-0.2352,0.4473,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_CONSUMER,US Consumer,20,20,0,0.0,0.0656,0.0833,0.0694,0.0,0.25,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_ENERGY,US Energy & Materials,20,17,3,17.65,0.0545,0.0417,0.1169,-0.0833,0.4473,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_FINANCE,US Financials,20,20,3,15.0,0.0354,0.0208,0.0789,-0.125,0.25,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_HEALTH,US Healthcare,20,20,1,5.0,0.0656,0.0833,0.0837,-0.0833,0.25,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_INDUSTRIAL,US Industrials,20,20,1,5.0,0.0771,0.0833,0.0866,-0.0417,0.25,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_MEME,US Retail Favorites,20,19,0,0.0,0.0219,0.0,0.0611,0.0,0.25,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_SMALL_MID,US Small/Mid Caps,20,19,0,0.0,0.0351,0.0,0.0423,0.0,0.0833,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_SP500_LARGE,S&P 500 Large Caps,20,20,0,0.0,0.0667,0.0833,0.064,0.0,0.25,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_SP500_MEGA,S&P 500 Mega Caps,20,20,1,5.0,0.0625,0.0833,0.0597,-0.0833,0.1667,NORMAL
2025-10-24,2025-10-24 14:40:37.016547,US_TECH,US Technology,20,20,1,5.0,0.0703,0.0833,0.0575,-0.0941,0.1667,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,ETF_MAJOR,Major ETFs,20,20,2,10.0,0.0971,0.0669,0.1465,-0.1059,0.6178,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,GLOBAL,Global All Indices,220,215,54,25.12,0.037,0.0315,0.0934,-0.4375,0.6178,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_CONSUMER,US Consumer,20,20,6,30.0,0.0632,0.0387,0.0941,-0.0697,0.3059,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_ENERGY,US Energy & Materials,20,17,2,11.76,0.0488,0.0465,0.0642,-0.0951,0.1764,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_FINANCE,US Financials,20,20,5,25.0,0.0252,0.0286,0.0536,-0.077,0.1243,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_HEALTH,US Healthcare,20,20,5,25.0,0.0525,0.0447,0.0766,-0.0388,0.2399,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_INDUSTRIAL,US Industrials,20,20,3,15.0,0.0424,0.0402,0.1178,-0.3505,0.285,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_MEME,US Retail Favorites,20,19,10,52.63,-0.0378,-0.0059,0.1284,-0.4375,0.1274,WARNING
2025-10-25,2025-10-25 14:31:23.678518,US_SMALL_MID,US Small/Mid Caps,20,19,4,21.05,0.0263,0.0208,0.0631,-0.0951,0.1274,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_SP500_LARGE,S&P 500 Large Caps,20,20,6,30.0,0.03,0.0323,0.0756,-0.1035,0.2399,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_SP500_MEGA,S&P 500 Mega Caps,20,20,3,15.0,0.0437,0.028,0.0488,-0.0229,0.1743,NORMAL
2025-10-25,2025-10-25 14:31:23.678518,US_TECH,US Technology,20,20,8,40.0,0.0125,0.0224,0.053,-0.1035,0.125,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,ETF_MAJOR,Major ETFs,20,20,0,0.0,0.0625,0.0833,0.0578,0.0,0.1667,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,GLOBAL,Global All Indices,220,215,23,10.7,0.0217,0.0,0.0826,-0.3945,0.3351,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_CONSUMER,US Consumer,20,20,0,0.0,0.0778,0.0833,0.0908,0.0,0.3351,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_ENERGY,US Energy & Materials,20,17,4,23.53,0.0209,0.0,0.1305,-0.3945,0.1667,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_FINANCE,US Financials,20,20,2,10.0,0.012,0.0,0.05,-0.1458,0.0833,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_HEALTH,US Healthcare,20,20,2,10.0,0.0043,0.0,0.077,-0.2887,0.0833,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_INDUSTRIAL,US Industrials,20,20,5,25.0,-0.0152,0.0,0.0746,-0.194,0.0833,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_MEME,US Retail Favorites,20,19,6,31.58,-0.0175,0.0,0.1342,-0.25,0.25,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_SMALL_MID,US Small/Mid Caps,20,19,1,5.26,0.0439,0.0,0.0701,-0.0,0.25,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_SP500_LARGE,S&P 500 Large Caps,20,20,1,5.0,0.0319,0.0,0.0538,-0.0,0.2002,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_SP500_MEGA,S&P 500 Mega Caps,20,20,1,5.0,0.0092,0.0,0.0392,-0.0833,0.1003,NORMAL
2025-10-30,2025-10-30 11:18:27.883813,US_TECH,US Technology,20,20,1,5.0,0.0083,0.0,0.0373,-0.0833,0.0833,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,ETF_MAJOR,Major ETFs,20,20,1,5.0,0.0555,0.0729,0.1189,-0.28,0.39,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,GLOBAL,Global All Indices,220,215,11,5.12,0.0225,0.0,0.0643,-0.375,0.39,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_CONSUMER,US Consumer,20,20,0,0.0,0.0333,0.0,0.0655,0.0,0.2489,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_ENERGY,US Energy & Materials,20,17,1,5.88,0.0061,0.0,0.0177,-0.0208,0.0417,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_FINANCE,US Financials,20,20,1,5.0,0.026,0.0417,0.0458,-0.125,0.125,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_HEALTH,US Healthcare,20,20,2,10.0,0.0208,0.0,0.0478,-0.0833,0.125,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_INDUSTRIAL,US Industrials,20,20,1,5.0,0.0279,0.0312,0.035,-0.0417,0.125,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_MEME,US Retail Favorites,20,19,3,15.79,-0.0203,0.0,0.1242,-0.375,0.25,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_SMALL_MID,US Small/Mid Caps,20,19,0,0.0,0.0219,0.0,0.035,0.0,0.125,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_SP500_LARGE,S&P 500 Large Caps,20,20,2,10.0,0.0198,0.0208,0.0435,-0.0833,0.0833,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_SP500_MEGA,S&P 500 Mega Caps,20,20,0,0.0,0.0229,0.0417,0.0213,0.0,0.0417,NORMAL
2025-11-04,2025-11-04 13:20:07.627993,US_TECH,US Technology,20,20,0,0.0,0.0292,0.0417,0.0274,0.0,0.0833,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,ETF_MAJOR,Major ETFs,20,20,2,10.0,0.038,0.0208,0.0958,-0.2536,0.1979,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,GLOBAL,Global All Indices,220,215,15,6.98,0.0214,0.0,0.0811,-0.453,0.4202,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_CONSUMER,US Consumer,20,20,1,5.0,0.024,0.0,0.0434,-0.0417,0.125,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_ENERGY,US Energy & Materials,20,17,0,0.0,0.0147,0.0,0.0218,0.0,0.0625,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_FINANCE,US Financials,20,20,0,0.0,0.0585,0.0417,0.0938,0.0,0.4202,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_HEALTH,US Healthcare,20,20,1,5.0,0.0333,0.0,0.0517,-0.0417,0.125,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_INDUSTRIAL,US Industrials,20,20,6,30.0,-0.0472,0.0,0.1355,-0.453,0.0417,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_MEME,US Retail Favorites,20,19,2,10.53,0.0323,0.0,0.151,-0.375,0.25,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_SMALL_MID,US Small/Mid Caps,20,19,0,0.0,0.0241,0.0417,0.0253,0.0,0.0833,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_SP500_LARGE,S&P 500 Large Caps,20,20,2,10.0,0.0187,0.0,0.0416,-0.0417,0.125,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_SP500_MEGA,S&P 500 Mega Caps,20,20,1,5.0,0.0198,0.0,0.0354,-0.0417,0.125,NORMAL
2025-11-11,2025-11-11 12:12:16.329893,US_TECH,US Technology,20,20,0,0.0,0.0187,0.0,0.0252,0.0,0.0833,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,ETF_MAJOR,Major ETFs,20,20,3,15.0,0.1241,0.0794,0.2144,-0.3607,0.6935,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,GLOBAL,Global All Indices,220,215,49,22.79,0.1314,0.0924,0.41,-0.7187,3.9687,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_CONSUMER,US Consumer,20,20,7,35.0,0.0735,0.0587,0.1839,-0.2539,0.4883,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_ENERGY,US Energy & Materials,20,17,9,52.94,0.0681,-0.0049,0.391,-0.4414,1.3991,WARNING
2025-11-13,2025-11-13 15:07:27.714116,US_FINANCE,US Financials,20,20,4,20.0,0.1317,0.0799,0.2412,-0.1219,1.0149,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_HEALTH,US Healthcare,20,20,3,15.0,0.1756,0.1849,0.1633,-0.0942,0.5703,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_INDUSTRIAL,US Industrials,20,20,4,20.0,0.0999,0.0895,0.1763,-0.2251,0.3586,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_MEME,US Retail Favorites,20,19,5,26.32,0.4316,0.0951,1.1962,-0.7187,3.9687,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_SMALL_MID,US Small/Mid Caps,20,19,4,21.05,0.0855,0.0931,0.221,-0.3853,0.6888,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_SP500_LARGE,S&P 500 Large Caps,20,20,2,10.0,0.1116,0.1413,0.1474,-0.2161,0.3826,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_SP500_MEGA,S&P 500 Mega Caps,20,20,5,25.0,0.0624,0.0854,0.1281,-0.2552,0.265,NORMAL
2025-11-13,2025-11-13 15:07:27.714116,US_TECH,US Technology,20,20,3,15.0,0.0849,0.1021,0.1371,-0.2422,0.38,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,ETF_MAJOR,Major ETFs,20,20,2,10.0,0.2074,0.1836,0.2458,-0.3929,0.7139,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,GLOBAL,Global All Indices,220,215,57,26.51,0.1096,0.0859,0.279,-1.4396,1.5625,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_CONSUMER,US Consumer,20,20,6,30.0,0.0365,0.0547,0.2194,-0.5458,0.6172,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_ENERGY,US Energy & Materials,20,17,3,17.65,0.2746,0.2103,0.2906,-0.0508,0.8906,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_FINANCE,US Financials,20,20,7,35.0,0.1281,0.0957,0.2972,-0.377,0.7057,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_HEALTH,US Healthcare,20,20,7,35.0,0.0949,0.0302,0.2971,-0.3737,0.741,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_INDUSTRIAL,US Industrials,20,20,9,45.0,-0.0854,0.0372,0.3845,-1.4396,0.2318,WARNING
2025-11-14,2025-11-14 17:58:42.478912,US_MEME,US Retail Favorites,20,19,6,31.58,0.148,0.0625,0.3945,-0.3437,1.5625,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_SMALL_MID,US Small/Mid Caps,20,19,4,21.05,0.1611,0.1608,0.1596,-0.1198,0.5186,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_SP500_LARGE,S&P 500 Large Caps,20,20,6,30.0,0.1147,0.1032,0.2516,-0.3779,0.7386,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_SP500_MEGA,S&P 500 Mega Caps,20,20,6,30.0,0.0187,0.0545,0.1604,-0.5384,0.2389,NORMAL
2025-11-14,2025-11-14 17:58:42.478912,US_TECH,US Technology,20,20,1,5.0,0.1365,0.1074,0.1337,-0.0315,0.6149,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,ETF_MAJOR,Major ETFs,20,20,2,10.0,0.0203,0.0,0.0725,-0.125,0.1875,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,GLOBAL,Global All Indices,220,215,11,5.12,0.046,0.0,0.1158,-0.25,1.0755,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_CONSUMER,US Consumer,20,20,1,5.0,0.0187,0.0,0.0532,-0.0833,0.125,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_ENERGY,US Energy & Materials,20,17,1,5.88,0.0098,0.0,0.0404,-0.0833,0.0833,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_FINANCE,US Financials,20,20,1,5.0,0.1038,0.0833,0.24,-0.1667,1.0755,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_HEALTH,US Healthcare,20,20,0,0.0,0.0979,0.0833,0.0987,0.0,0.25,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_INDUSTRIAL,US Industrials,20,20,1,5.0,0.0979,0.0833,0.1853,-0.0833,0.7148,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_MEME,US Retail Favorites,20,19,2,10.53,-0.0132,0.0,0.1012,-0.25,0.25,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_SMALL_MID,US Small/Mid Caps,20,19,1,5.26,0.0263,0.0,0.0485,-0.0833,0.0833,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_SP500_LARGE,S&P 500 Large Caps,20,20,1,5.0,0.0417,0.0,0.074,-0.0833,0.25,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_SP500_MEGA,S&P 500 Mega Caps,20,20,1,5.0,0.0479,0.0417,0.0652,-0.0417,0.25,NORMAL
2025-11-21,2025-11-21 14:15:39.644709,US_TECH,US Technology,20,20,0,0.0,0.0458,0.0417,0.0504,0.0,0.1667,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,ETF_MAJOR,Major ETFs,20,20,2,10.0,0.0894,0.0768,0.1184,-0.1825,0.2941,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,GLOBAL,Global All Indices,220,215,31,14.42,0.0667,0.0578,0.0943,-0.2865,0.6328,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_CONSUMER,US Consumer,20,20,4,20.0,0.0593,0.0448,0.0799,-0.0529,0.2206,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_ENERGY,US Energy & Materials,20,17,2,11.76,0.0507,0.0435,0.1206,-0.2865,0.2734,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_FINANCE,US Financials,20,20,6,30.0,0.0501,0.0561,0.0781,-0.084,0.2015,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_HEALTH,US Healthcare,20,20,0,0.0,0.1119,0.0826,0.0749,0.013,0.2792,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_INDUSTRIAL,US Industrials,20,20,4,20.0,0.0632,0.0716,0.0749,-0.0964,0.1952,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_MEME,US Retail Favorites,20,19,4,21.05,0.0639,0.0221,0.1563,-0.1341,0.6328,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_SMALL_MID,US Small/Mid Caps,20,19,3,15.79,0.0593,0.0493,0.059,-0.0327,0.1881,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_SP500_LARGE,S&P 500 Large Caps,20,20,4,20.0,0.0747,0.0765,0.1088,-0.2077,0.2734,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_SP500_MEGA,S&P 500 Mega Caps,20,20,1,5.0,0.0613,0.0605,0.0568,-0.0957,0.1839,NORMAL
2025-11-30,2025-11-30 13:54:01.595963,US_TECH,US Technology,20,20,1,5.0,0.0465,0.0566,0.0701,-0.2077,0.1471,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,ETF_MAJOR,Major ETFs,20,6,2,33.33,0.0497,0.0432,0.0681,-0.0193,0.1297,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,GLOBAL,Global All Indices,220,54,16,29.63,0.017,0.0139,0.0365,-0.0798,0.1297,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,US_CONSUMER,US Consumer,20,4,1,25.0,0.0152,0.0143,0.0203,-0.0061,0.0383,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,US_ENERGY,US Energy & Materials,20,1,1,100.0,-0.0311,-0.0311,,-0.0311,-0.0311,CRITICAL
2026-01-14,2026-01-14 20:11:16.630459,US_FINANCE,US Financials,20,2,1,50.0,0.0111,0.0111,0.0216,-0.0042,0.0264,WARNING
2026-01-14,2026-01-14 20:11:16.630459,US_HEALTH,US Healthcare,20,3,1,33.33,0.0284,0.0408,0.0361,-0.0123,0.0566,NORMAL
2026-01-14,2026-01-14 19:52:17.124871,US_INDUSTRIAL,US Industrials,20,20,4,20.0,0.1274,0.0955,0.1891,-0.234,0.6102,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,US_MEME,US Retail Favorites,20,6,1,16.67,0.0253,0.0236,0.0227,-0.0078,0.0566,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,US_SMALL_MID,US Small/Mid Caps,20,4,0,0.0,0.0275,0.0245,0.0224,0.0035,0.0574,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,US_SP500_LARGE,S&P 500 Large Caps,20,4,3,75.0,-0.0248,-0.0101,0.0373,-0.0798,0.0007,CRITICAL
2026-01-14,2026-01-14 20:11:16.630459,US_SP500_MEGA,S&P 500 Mega Caps,20,12,3,25.0,0.0172,0.0185,0.0198,-0.0136,0.0479,NORMAL
2026-01-14,2026-01-14 20:11:16.630459,US_TECH,US Technology,20,12,3,25.0,0.0096,0.0126,0.0343,-0.0798,0.0491,NORMAL
2026-02-01,2026-02-01 15:57:12.520559,ETF_MAJOR,Major ETFs,20,6,3,50.0,0.0312,0.0358,0.0943,-0.1019,0.131,WARNING
2026-02-01,2026-02-01 15:57:12.520559,GLOBAL,Global All Indices,220,38,15,39.47,0.0093,0.0109,0.0432,-0.1019,0.131,NORMAL
2026-02-01,2026-02-01 15:57:12.520559,US_CONSUMER,US Consumer,20,2,1,50.0,0.003,0.003,0.016,-0.0083,0.0143,WARNING
2026-02-01,2026-02-01 15:57:12.520559,US_HEALTH,US Healthcare,20,1,1,100.0,-0.0346,-0.0346,,-0.0346,-0.0346,CRITICAL
2026-02-01,2026-02-01 15:57:12.520559,US_MEME,US Retail Favorites,20,3,1,33.33,-0.0066,0.005,0.0267,-0.0371,0.0123,NORMAL
2026-02-01,2026-02-01 15:57:12.520559,US_SMALL_MID,US Small/Mid Caps,20,1,0,0.0,0.0123,0.0123,,0.0123,0.0123,NORMAL
2026-02-01,2026-02-01 15:57:12.520559,US_SP500_LARGE,S&P 500 Large Caps,20,3,3,100.0,-0.0181,-0.0081,0.0234,-0.0448,-0.0013,CRITICAL
2026-02-01,2026-02-01 15:57:12.520559,US_SP500_MEGA,S&P 500 Mega Caps,20,10,2,20.0,0.0138,0.0122,0.026,-0.0346,0.0597,NORMAL
2026-02-01,2026-02-01 15:57:12.520559,US_TECH,US Technology,20,12,4,33.33,0.0098,0.0112,0.0265,-0.0448,0.0597,NORMAL
